R_Name,hierarchy
SA-BA 94-1990 Sec84(1A)(e)(i),84.20.5.9
SA-WSA 108-1997 Sch1 Sec3(3)(g),3.3.7
SA-WSA 108-1997 Sch1 Sec3(3)(f),3.3.6
SA-BA 94-1990 Sec84(1A)(e),84.20.5
SA-BA 94-1990 Sec84(1A)(d),84.20.4
SA-BA 94-1990 Sec84(1A)(c),84.20.3
SA-BA 94-1990 Sec84(1A)(b)(ii),84.20.2.34
SA-BA 94-1990 Sec84(1A)(b)(i),84.20.2.9
SA-BA 94-1990 Sec84(1A)(a),84.20.1
SA-BA 94-1990 Sec84(1),84.1
SA-BA 94-1990 Sec83(4),83.4
SA-BA 94-1990 Sec83(3)(b),83.3.2
SA-BA 94-1990 Sec83(3)(a),83.3.1
SA-BA 94-1990 Sec83(2),83.2
SA-BA 94-1990 Sec83(1),83.1
SA-BA 94-1990 Sec82(3),82.3
SA-BA 94-1990 Sec82(2),82.2
SA-WSA 108-1997 Sec31(4)(a),31.4.1
SA-WSA 108-1997 Sec31(3),31.3
SA-WSA 108-1997 Sec4(2)(a),4.2.1
SA-BA 94-1990 Sec82(1),82.1
SA-BA 94-1990 Sec81(2)(c),81.2.3
SA-BA 94-1990 Sec81(2)(b),81.2.2
SA-BA 94-1990 Sec81(2)(a),81.2.1
SA-BA 94-1990 Sec81(1)(b)(iii),81.1.2.3
SA-BA 94-1990 Sec81(1)(b)(ii),81.1.2.34
SA-NPOA 1104-1998 Reg16(1)(c),16.1.3.0.1.3
SA-NPOA 1104-1998 Reg16(1)(b),16.1.2.0.1.2
SA-TPCA 57-1988 Sec6(3)(b),6.3.2
SA-BA 94-1990 Sec81(1)(b)(i),81.1.2.9
SA-BA 94-1990 Sec81(1)(a),81.1.1
SA-BA 94-1990 Sec80(5)(b),80.5.2
SA-BA 94-1990 Sec80(5)(a)(iv),80.5.1.4
SA-BA 94-1990 Sec80(5)(a)(iii),80.5.1.3
SA-BA 94-1990 Sec80(5)(a)(ii),80.5.1.34
SA-BA 94-1990 Sec80(5)(a)(i),80.5.1.9
SA-BA 94-1990 Sec80(4),80.4
SA-BA 94-1990 Sec80(3),80.3
SA-BA 94-1990 Sec80(2),80.2
SA-BA 94-1990 Sec80(1),80.1
SA-BA 94-1990 Sec79(4),79.4
SA-BA 94-1990 Sec79(3),79.3
SA-BA 94-1990 Sec79(2),79.2
SA-BA 94-1990 Sec79(1)(c),79.1.3
SA-BA 94-1990 Sec79(1)(b),79.1.2
SA-BA 94-1990 Sec79(1)(b)(iii),79.1.2.3
SA-BA 94-1990 Sec79(1)(b)(ii),79.1.2.34
SA-BA 94-1990 Sec79(1)(b)(i),79.1.2.9
SA-BA 94-1990 Sec79(1)(a),79.1.1
SA-BA 94-1990 Sec78(3),78.3
SA-NEMBA 10-2004 Sec41(c)(i),41.3.9.0.3.9
SA-NEMBA 10-2004 Sec41(b),41.2.41.2
SA-BA 94-1990 Sec78(2)(b),78.2.2
SA-BA 94-1990 Sec78(2)(a),78.2.1
SA-BA 94-1990 Sec78(1)(k),78.1.11
SA-BA 94-1990 Sec78(1)(j)(ii),78.1.10.34
SA-BA 94-1990 Sec78(1)(j)(i),78.1.10.9
SA-BA 94-1990 Sec78(1)(i),78.1.9
SA-BA 94-1990 Sec78(1)(h),78.1.8
SA-BA 94-1990 Sec78(1)(g)(iii),78.1.7.3
SA-BA 94-1990 Sec78(1)(g)(ii),78.1.7.34
SA-BA 94-1990 Sec78(1)(g)(i),78.1.7.9
SA-BA 94-1990 Sec78(1)(f)(ii),78.1.6.34
SA-BA 94-1990 Sec78(1)(f)(i),78.1.6.9
SA-BA 94-1990 Sec78(1)(e),78.1.5
SA-BA 94-1990 Sec78(1)(d)(iii),78.1.4.3
SA-BA 94-1990 Sec78(1)(d)(ii),78.1.4.34
SA-BA 94-1990 Sec78(1)(d)(i),78.1.4.9
SA-BA 94-1990 Sec78(1)(c),78.1.3
SA-BA 94-1990 Sec78(1)(b),78.1.2
SA-BA 94-1990 Sec78(1)(a),78.1.1
SA-BA 94-1990 Sec77(3),77.3
SA-BA 94-1990 Sec77(2),77.2
SA-NEMBA 10-2004 Sec18(2)(b),18.2.2.0.2.2
SA-BA 94-1990 Sec77(1)(c),77.1.3
SA-BA 94-1990 Sec77(1)(b),77.1.2
SA-BA 94-1990 Sec77(1)(a),77.1.1
SA-BA 94-1990 Sec76(2),76.2
SA-BA 94-1990 Sec76(1)(c),76.1.3
SA-BA 94-1990 Sec76(1)(b),76.1.2
SA-BA 94-1990 Sec76(1)(a),76.1.1
SA-BA 94-1990 Sec76(1),76.1
SA-BA 94-1990 Sec75(6),75.6
SA-BA 94-1990 Sec75(5),75.5
SA-BA 94-1990 Sec75(4)(b)(vi),75.4.2.6
SA-BA 94-1990 Sec75(4)(b)(v),75.4.2.22
SA-NEMBA 10-2004 Sec11(1)(d),4.11.1.4.0.1
SA-BA 94-1990 Sec75(4)(b)(iv),75.4.2.4
SA-BA 94-1990 Sec75(4)(b)(iii),75.4.2.3
SA-BA 94-1990 Sec75(4)(b)(ii),75.4.2.34
SA-BA 94-1990 Sec75(4)(b)(i),75.4.2.9
SA-BA 94-1990 Sec75(4)(a),75.4.1
SA-BA 94-1990 Sec75(3A),75.2
SA-BA 94-1990 Sec75(3),75.3
SA-BA 94-1990 Sec75(2),75.2
SA-BA 94-1990 Sec75(1)(b),75.1.2
SA-BA 94-1990 Sec75(1)(a)(ii),75.1.1.34
SA-BA 94-1990 Sec75(1)(a)(i),75.1.1.9
SA-BA 94-1990 Sec74(4),74.4
SA-BA 94-1990 Sec74(3)(b),74.3.2
SA-BA 94-1990 Sec74(3)(a),74.3.1
SA-BA 94-1990 Sec74(2),74.2
SA-BA 94-1990 Sec74(1)(b),74.1.2
